arbitrary	biased	coherence	consensus	contentious	expected	insightful	meaningful	offensive	preferable	sensible	specificity	uncanny	unpredictable	confusing	age	bestlabel	birthsex	education	familiarity	gender	marital	poc	corpus	assignmentID	topicID	HITId	technique	suitable	objectionable	consensus_factor
60	72	24	79	40	22	51	55	29	40	32	77	38	92	80	29	NA	female	associates	10	woman	single	white	ap	31QTRG6Q2VRBNSB369F96ZZGNUAYP6	17	3QD8LUVX4YCF7T5HRWFR1VS5A6PX5S	Mei et al	157.116794182804	172.170387455707	39.2300336939474
20	9	40	72	16	7	13	9	1	1	13	12	65	97	2	44	NA	male	associates	18	man	single	mixed	ap	3ERET4BTVONVB06FL5ILB1KQKCCK9X	17	3QD8LUVX4YCF7T5HRWFR1VS5A6PX5S	Mei et al	68.5825630913313	67.2714850348779	35.7539547590407
51	52	44	50	47	50	46	48	51	46	49	51	54	52	48	31	NA	female	somecollege	25	woman	divorced	white	ap	3MHW492WW2ROYVJL9I0XIW1R0AYVM3	17	3QD8LUVX4YCF7T5HRWFR1VS5A6PX5S	Mei et al	203.096202759622	172.690898918475	24.8291352493338
38	71	69	38	29	70	67	83	36	60	64	58	34	63	42	42	NA	male	bachelors	19	man	single	white	ap	3QHK8ZVMIOWPJZ3U4P8IH7SVXBSLBH	17	3QD8LUVX4YCF7T5HRWFR1VS5A6PX5S	Mei et al	302.160296977547	156.493663830919	18.8701427894937
36	24	65	33	56	32	57	65	1	56	32	61	1	75	41	57	NA	female	somecollege	66	woman	married	white	ap	3SKRO2GZ735DMV3KHS3SWV27MZW1KB	17	3QD8LUVX4YCF7T5HRWFR1VS5A6PX5S	Mei et al	212.659173545316	88.0945265017344	16.3872292645603
84	64	1	78	49	1	2	5	72	1	1	62	7	77	1	22	NA	male	high	1	man	single	white	ap	32N49TQG3IWNWUAWCFAS956R6R9AVU	45	3CIS7GGG66XNM84FXSX7LIZETH7UEY	Mei et al	8.60345795482075	174.625386894646	38.7334509889607
90	10	1	90	85	1	10	20	70	1	30	30	1	90	50	24	NA	male	high	30	man	married	white	ap	333U7HK6IBTC36DEF0NBWI33W7ZJDK	45	3CIS7GGG66XNM84FXSX7LIZETH7UEY	Mei et al	54.4381008852798	128.23521110007	44.6924434488008
100	50	1	100	50	1	1	1	5	1	1	5	100	100	100	39	NA	male	somecollege	1	man	single	white	ap	3C6FJU71TS7OFXJZNVE3G5MFVB2YU2	45	3CIS7GGG66XNM84FXSX7LIZETH7UEY	Mei et al	4.27644212766988	139.816843322067	49.6582704986676
37	90	6	71	95	25	20	21	88	4	10	67	13	90	17	36	NA	male	high	10	man	married	white	ap	3EF8EXOTT39IBBX2Z73GVG2U7AWJ1U	45	3CIS7GGG66XNM84FXSX7LIZETH7UEY	Mei et al	70.4812098171489	239.610397711874	35.257372054054
97	50	1	86	17	1	1	5	33	1	1	29	9	100	5	28	NA	female	graduate	1	woman	single	white	ap	3YMU66OBIPMJOKSFTQLYQQQLW7BGHM	45	3CIS7GGG66XNM84FXSX7LIZETH7UEY	Mei et al	7.79903903534783	97.0604237637852	42.7061126288541
83	84	83	92	37	6	9	17	35	9	8	83	26	97	92	24	NA	male	somecollege	20	man	single	white	ap	39GHHAVOMH5Z3AULMPMITE9XJU6J47	11	3W1K7D6QSCV614M5TOUP1288S29ZBS	Mei et al	101.727859065635	179.997620905846	45.6856088587742
45	55	63	62	63	57	58	59	59	38	45	45	60	40	42	32	NA	male	bachelors	60	woman	married	white	ap	3CN4LGXD5Z2PYZPK8PNL31OLWYHY4I	11	3W1K7D6QSCV614M5TOUP1288S29ZBS	Mei et al	240.329703617758	190.458426344695	30.7881277091739
40	66	17	20	61	5	3	3	71	1	14	54	1	64	78	31	NA	male	graduate	17	man	married	white	ap	3STRJBFXOY5EVFFTJBN221L2EI3TKS	11	3W1K7D6QSCV614M5TOUP1288S29ZBS	Mei et al	35.8275496124745	173.181564178207	9.93165409973352
39	88	26	78	76	19	43	29	42	13	15	74	50	85	58	53	NA	male	graduate	5	man	divorced	white	ap	3VELCLL3GMX269B6GHCVGIA2E4L1FH	11	3W1K7D6QSCV614M5TOUP1288S29ZBS	Mei et al	111.403742961165	220.738657029111	38.7334509889607
57	27	18	26	61	7	69	27	17	1	28	54	1	7	76	27	NA	female	bachelors	50	woman	single	hispanic	ap	3X31TUMD7Z0O61L22SFTBVFMBZ11LE	11	3W1K7D6QSCV614M5TOUP1288S29ZBS	Mei et al	125.267277282186	101.344815493595	12.9111503296536
19	40	90	50	80	100	85	100	1	81	74	60	39	1	3	39	NA		bachelors	60	man	single	hispanic	ap	38JBBYETQQORSU8T8OBRWYW5EMAE4H	30	3SZYX62S5HELSEZQ9JBT7WFH8DB758	Mei et al	384.02457083886	138.466205980298	24.8291352493338
1	1	100	90	1	100	60	97	1	96	100	1	1	1	1	39	NA	male	somecollege	5	man	single	white	ap	3B1NLC6UG1AB11Q3C3T3ZZSCIYLGPR	30	3SZYX62S5HELSEZQ9JBT7WFH8DB758	Mei et al	392.825508307313	3.37541463681974	44.6924434488008
1	42	70	80	51	70	70	70	1	50	70	51	49	35	25	31	NA	female	bachelors	80	woman	married	white	ap	3FQ5JJ512N2G02A9MF1QT2FAP21NK9	30	3SZYX62S5HELSEZQ9JBT7WFH8DB758	Mei et al	299.350948936892	125.071519638412	39.7266163989341
1	1	35	26	77	34	35	38	1	35	35	1	1	50	33	41	NA	male	high	1	man	married	white	ap	3VAR3R6G1RFENM8KE540IM6OKACO82	30	3SZYX62S5HELSEZQ9JBT7WFH8DB758	Mei et al	151.43644311693	45.6423944244622	12.9111503296536
1	16	77	76	15	76	67	80	1	95	94	85	1	25	10	23	NA	male	somecollege	20	man	single	mixed	ap	3XC1O3LBOU0PFLXB4BZ3H1YH3ISLT7	30	3SZYX62S5HELSEZQ9JBT7WFH8DB758	Mei et al	338.355319970715	73.7640963835623	37.7402855789874
1	1	1	1	6	17	19	35	1	2	30	1	1	76	1	42	NA	female	associates	6	woman	married	white	ap	37M28K1J0SRE5ZA2VQW96HVXB42JAI	24	3F6045TU7E287KPVR6MUX8BPPZI99D	Mei et al	88.9832740807202	6.1561369912699	0.496582704986676
1	1	1	100	1	99	87	100	1	82	100	1	1	1	1	27	NA	male	somecollege	50	man	single	black	ap	3E337GFOLBMBYGEQWOGBVANHILKNG6	24	3F6045TU7E287KPVR6MUX8BPPZI99D	Mei et al	336.382403827424	3.37541463681974	49.6582704986676
54	4	31	86	1	23	53	83	1	42	33	3	63	67	64	24	NA	female	somecollege	50	woman	single	white	ap	3KOPY89HMAGELEBHMBHZJ9HR5V3J3H	24	3F6045TU7E287KPVR6MUX8BPPZI99D	Mei et al	190.819025808539	48.286493035386	42.7061126288541
1	8	7	66	20	31	28	34	1	30	29	72	1	1	3	29	NA	male	somecollege	16	man	single	white	ap	3QFUFYSY90TJY88P3ZVXEGH5QNP4FP	24	3F6045TU7E287KPVR6MUX8BPPZI99D	Mei et al	111.616854992291	62.5046202313853	32.7744585291206
62	61	39	36	66	61	62	66	32	57	59	68	59	67	62	36	NA	male	bachelors	64	man	married	white	ap	3RYC5T2D7572QRZHSENFY36JK7WPRW	24	3F6045TU7E287KPVR6MUX8BPPZI99D	Mei et al	246.503706771373	189.076133922642	17.8769773795203
51	90	59	95	51	54	59	63	4	53	63	55	51	75	51	31	NA	female	bachelors	80	woman	married	white	ap	30MVJZJNHOR00G0X3KI9AMKD5OLJ98	53	3M67TQBQQI2MC3Z0JC0UT3M9VH09AS	Mei et al	255.04013944033	167.955193642271	47.1753569737342
40	13	28	15	3	19	28	35	1	15	39	31	1	72	66	37	NA	male	bachelors	6	man	married	white	ap	35L9RVQFCQW2T2TADVAFU5RC5GJUHV	53	3M67TQBQQI2MC3Z0JC0UT3M9VH09AS	Mei et al	127.910081316851	31.9364543871064	7.44874057480014
22	100	69	80	87	72	29	81	25	34	62	100	50	100	26	38	NA	female	bachelors	20	woman	married	white	ap	38F71OA9GVAZ2YXV93VT0AY5CF9MF3	53	3M67TQBQQI2MC3Z0JC0UT3M9VH09AS	Mei et al	269.786861567535	238.664926710695	39.7266163989341
55	32	53	43	62	43	41	55	16	42	35	67	42	9	31	34	NA	female	bachelors	30	woman	married	hispanic	ap	3MYYFCXHJ5LPC84KEJ1FW1HHR3I4GJ	53	3M67TQBQQI2MC3Z0JC0UT3M9VH09AS	Mei et al	193.694329137168	140.239566527444	21.3530563144271
1	1	78	64	41	70	66	73	1	54	65	64	1	12	9	29	NA	female	somecollege	70	woman	single	white	ap	3W92K5RLWWVQQOYFHJJB1UQ5ED8V59	53	3M67TQBQQI2MC3Z0JC0UT3M9VH09AS	Mei et al	300.718236006904	63.9519117638162	31.7812931191473
92	85	87	79	58	80	73	90	83	71	90	72	84	70	92	26	NA	male	bachelors	74	man	married	white	ap	37UEWGM5HVMZ9ZGF7CCPX7OLHRQR1U	66	34O39PNDK7MXZD0EJ70CFZ69JLRBRC	Mei et al	359.972958810622	261.76347417845	39.2300336939474
75	77	68	80	34	54	81	76	30	82	30	64	24	89	72	32	NA	male	bachelors	20	man	married	white	ap	3B3WTRP3DDG0UK2PWZCHB5YW3BY926	66	34O39PNDK7MXZD0EJ70CFZ69JLRBRC	Mei et al	261.649652463952	156.185222636518	39.7266163989341
85	1	5	90	85	1	1	1	1	1	1	5	50	100	95	39	NA	male	somecollege	1	man	single	white	ap	3FIUS151DXG5OOX49K3G5QEKH7YGGN	66	34O39PNDK7MXZD0EJ70CFZ69JLRBRC	Mei et al	7.50566976218065	85.2408262529511	44.6924434488008
93	39	6	94	9	2	13	20	50	10	8	17	16	97	53	36	NA	male	somecollege	1	man	married	white	ap	3NLZY2D53R3CN55JN758CWNUJBTLQT	66	34O39PNDK7MXZD0EJ70CFZ69JLRBRC	Mei et al	41.9009343308552	94.7605147814263	46.6787742687475
100	1	1	1	100	1	1	14	1	1	1	13	1	100	78	29	NA	male	high	1	man	single	white	ap	3TUI152ZZD1ZXY1FUXNPSHEGL5O1Q3	66	34O39PNDK7MXZD0EJ70CFZ69JLRBRC	Mei et al	15.7248820776232	65.7348064532939	0.496582704986676
11	50	25	65	69	27	62	63	50	27	44	50	4	75	84	35	NA	male	graduate	5	man	single	white	ap	35GMH2SV3GVVWNIBR8Q0AW2AVHBEO0	57	33Q5P9PUSQ0PB9EB7OQKCMEQAN9ZCZ	Mei et al	189.059854666865	148.624891799161	32.2778758241339
65	58	32	65	23	24	18	24	60	24	34	32	27	70	27	24	NA	female	bachelors	1	woman	engaged	white	ap	3ATTHHXXWC2U61YPOI3NEORVZAMIX9	57	33Q5P9PUSQ0PB9EB7OQKCMEQAN9ZCZ	Mei et al	113.297433220014	141.346045283013	32.2778758241339
84	89	80	84	83	70	70	70	76	71	79	82	85	77	77	34	NA	male	bachelors	99	man	married	white	ap	3AWETUDC946JBWY4P0R8B9767AKIZ6	57	33Q5P9PUSQ0PB9EB7OQKCMEQAN9ZCZ	Mei et al	315.551810386546	280.046415776901	41.7129472188808
56	67	56	24	60	11	13	12	45	4	19	11	12	61	58	29	NA	male	graduate	80	man	married	white	ap	3KAKFY4PGWGIQ3RB4TWZ782RSHNI3F	57	33Q5P9PUSQ0PB9EB7OQKCMEQAN9ZCZ	Mei et al	93.0838656814825	134.375849243027	11.9179849196802
1	8	100	89	6	96	100	98	4	97	98	65	5	3	8	27	NA	male	associates	8	man		hispanic	ap	3NL0RFNU0H1UEU034AMUUT9AYJ64KR	57	33Q5P9PUSQ0PB9EB7OQKCMEQAN9ZCZ	Mei et al	420.552822103301	55.4608250759882	44.1958607438142
12	26	23	57	69	54	62	72	7	38	40	52	5	12	76	39	NA	female	bachelors	1	woman	married	white	ap	39DD6S19JRP7VRWITH1HQU9EFHEEZU	6	3KI0JD2ZU2WHBIZ4E2LYZ2TH48M76O	Mei et al	215.545165601795	98.7129917346115	28.3052141842405
1	63	56	80	22	66	31	56	11	11	41	77	73	41	3	44	NA	female	graduate	1	woman	divorced	white	ap	3KJYX6QCMBPYXND06LN5249AWFTVJN	6	3KI0JD2ZU2WHBIZ4E2LYZ2TH48M76O	Mei et al	214.633755879806	164.647817876099	39.7266163989341
44	53	64	41	29	68	73	78	37	71	60	35	66	60	62	32	NA	female	associates	44	woman	single	white	ap	3NGI5ARFTVJEXM00UK80SCO6G9JP1H	6	3KI0JD2ZU2WHBIZ4E2LYZ2TH48M76O	Mei et al	293.172719590598	150.847989853014	20.3598909044537
40	35	68	50	80	60	50	60	15	25	65	55	10	77	30	28	NA	male	bachelors	35	man	single	mixed	ap	3NQL1CS15TMOSC8ZSLO8CROY9IBYVR	6	3KI0JD2ZU2WHBIZ4E2LYZ2TH48M76O	Mei et al	259.516233936362	123.105962720394	24.8291352493338
26	31	62	59	36	67	68	68	3	59	67	58	61	38	29	33	NA	male	graduate	33	man	single	white	ap	3Z9WI9EOZ12OQ6OYJH6DOIIE3PHKHK	6	3KI0JD2ZU2WHBIZ4E2LYZ2TH48M76O	Mei et al	284.170156157136	122.124298853178	29.2983795942139
100	1	2	4	96	2	1	3	1	2	1	1	1	100	100	35	NA	male	graduate	80	man	single	white	ap	33CUSNVVNPQB2UL47OF4L0GO59988S	28	3VEI3XUCZSBZ371O2CIDAJBY0P5RPC	Mei et al	7.72602652241103	56.2091393713728	1.9863308199467
29	38	21	41	26	23	32	36	1	42	42	19	41	27	38	22	NA	male	high	1	man	single	asian	ap	34QN5IT0T15TK5G1CK2PSLA6MBX805	28	3VEI3XUCZSBZ371O2CIDAJBY0P5RPC	Mei et al	132.590438111492	83.2916749378544	20.3598909044537
52	60	43	33	60	41	65	59	41	39	59	40	58	59	37	12	NA	male	bachelors	53	man	single	asian	ap	374TNBHA8D9WN4CI6MUY64PQSQWYQX	28	3VEI3XUCZSBZ371O2CIDAJBY0P5RPC	Mei et al	228.362065930377	174.261001474624	16.3872292645603
40	1	20	80	25	5	15	10	15	1	5	20	1	65	1	57	NA	female	high	20	woman	married	white	ap	3HUTX6F6VW13176VYOVZ8VTLYAKO2Z	28	3VEI3XUCZSBZ371O2CIDAJBY0P5RPC	Mei et al	45.9392495970915	39.1587771709757	39.7266163989341
100	1	1	1	100	1	1	1	1	1	1	1	1	100	100	37	NA	female	associates	1	woman	single	white	ap	3PMBY0YE29HDS2URTS1NNI7IF2B9CF	28	3VEI3XUCZSBZ371O2CIDAJBY0P5RPC	Mei et al	4.27644212766988	58.4337172549329	0.496582704986676
1	5	36	57	2	29	22	23	1	29	33	4	1	26	2	28	NA	male	bachelors	32	man	single	white	ap	33F859I568RNX3K4D4TKPFZOGVIHB7	48	34KYK9TV2SM90S0RYW0H59B55NABS0	Mei et al	122.365494426494	8.8221740115014	28.3052141842405
30	25	63	25	42	45	61	27	32	59	47	87	27	35	26	36	NA	female	somecollege	11	woman	single	black	ap	386PBUZZXHBV1I16SHLZFVB85G1LJ2	48	34KYK9TV2SM90S0RYW0H59B55NABS0	Mei et al	205.79661280821	138.33536456697	12.4145676246669
86	50	5	82	20	4	1	5	1	1	1	7	1	93	100	54	NA	male	somecollege	50	man	married	white	ap	39GXDJN2OVS9D6HHFHQEDE0WG428VJ	48	34KYK9TV2SM90S0RYW0H59B55NABS0	Mei et al	13.6712037666821	55.1431510843778	40.7197818089074
100	1	1	1	22	1	1	1	1	1	1	46	1	100	79	36	NA	male	bachelors	1	man	single	white	ap	3A4TN5196MW678CAR4PF0Z56YHOCHH	48	34KYK9TV2SM90S0RYW0H59B55NABS0	Mei et al	4.27644212766988	42.4335330193641	0.496582704986676
89	76	70	87	65	33	24	14	4	15	2	25	29	100	94	41	NA	female	associates	7	woman	married	hispanic	ap	3OE22WJIGK2F6VSDWLX93JJDW2MQUS	48	34KYK9TV2SM90S0RYW0H59B55NABS0	Mei et al	119.02511099397	132.071166520815	43.2026953338408
8	30	65	37	70	64	55	53	27	61	61	39	57	15	36	31	NA	male	graduate	4	man	married	white	ap	31LVTDXBL9OCZ6KJ0MU8HMXZFXVLRU	89	3RDTX9JRTZF4T112C9OAJCKJU9U79Z	Mei et al	254.863427187004	144.680450325701	18.373560084507
5	6	94	81	33	90	84	89	4	96	89	9	5	4	4	33	NA	female	bachelors	60	woman	married	white	ap	388U7OUMF9FZ2AVXBT8PJ25BCZKR0R	89	3RDTX9JRTZF4T112C9OAJCKJU9U79Z	Mei et al	381.498768340668	34.8723048955671	40.2231991039207
42	29	13	25	13	27	37	40	43	37	26	44	50	15	16	34	NA	female	somecollege	32	woman	single		ap	3BWI6RSP7INOBHQCAM9YZAGF5O0E71	89	3RDTX9JRTZF4T112C9OAJCKJU9U79Z	Mei et al	122.751181830606	123.011874479123	12.4145676246669
1	6	82	91	69	88	94	94	1	100	92	83	68	7	11	33	NA	female	somecollege	62	woman	married	white	ap	3NS0A6KXC6M5F5S9ZCR5QXUQSXSZGV	89	3RDTX9JRTZF4T112C9OAJCKJU9U79Z	Mei et al	385.205826823039	139.64924080238	45.1890261537875
95	97	94	89	95	95	96	88	50	89	91	89	95	89	89	30	NA	male	graduate	99	man	married	black	ap	3OHYZ19UGEJS6A1ZB3OEEDCJAYCOA6	89	3RDTX9JRTZF4T112C9OAJCKJU9U79Z	Mei et al	396.482217389546	283.588468622755	44.1958607438142
1	50	91	94	80	69	84	100	8	100	90	85	54	31	23	42	NA	female	bachelors	1	woman	single	white	ap	352YTHGROXR3C4ZVYPJXH1TI6224HN	25	3IWA71V4TJUBQX5VWFPWT165610X68	Mei et al	371.16651747351	176.793057020974	46.6787742687475
64	34	65	53	31	74	32	63	82	45	61	55	39	15	78	28	NA	male	associates	29	man	married	white	ap	384PI804XUFB3PVAQI8U9CA7Y2T0SG	25	3IWA71V4TJUBQX5VWFPWT165610X68	Mei et al	253.978074631066	166.49947994154	26.3188833642938
70	29	43	39	29	62	80	68	70	45	35	47	67	56	85	35	NA	male	bachelors	50	man	married	white	ap	3D4CH1LGEC7Q9EAWVEX6D9SXDU3G9W	25	3IWA71V4TJUBQX5VWFPWT165610X68	Mei et al	245.180639473503	166.060590607789	19.3667254944804
1	2	98	95	6	98	95	98	30	98	98	9	5	3	3	49	NA	female	high	1	woman	married	white	ap	3GLB5JMZFZ92C4ND7U28Z5BN4GHGDE	25	3IWA71V4TJUBQX5VWFPWT165610X68	Mei et al	416.67807175323	36.9890452002026	47.1753569737342
1	15	80	80	15	80	85	80	5	95	80	10	8	1	5	37	NA	female	somecollege	1	woman	married	asian	ap	3ZGVPD4G6VV9KAEFJCQCPG9FIT0ZT8	25	3IWA71V4TJUBQX5VWFPWT165610X68	Mei et al	346.137464810955	35.146989575998	39.7266163989341
75	6	12	88	3	8	39	50	1	24	37	4	36	66	83	24	NA	female	somecollege	16	woman	single	white	ap	33F859I568RNX3K4D4TKPFZOGUWHBJ	79	3PR3LXCWSGDY8G7TUMS8DBX7W28X9J	Mei et al	125.554571861032	33.5129253205239	43.6992780388275
50	40	45	50	70	50	35	40	19	26	45	60	55	70	26	33	NA	male	bachelors	30	man	single	white	ap	34S9DKFK753BK7ZQQU2H2AULNGZNYR	79	3PR3LXCWSGDY8G7TUMS8DBX7W28X9J	Mei et al	184.39735557719	157.570618959566	24.8291352493338
27	74	55	43	74	53	59	57	33	39	56	68	37	35	27	33	NA	male	bachelors	50	man	single	asian	ap	3PEIJLRY6V7C7WIUDZ72FF03ENKXWZ	79	3PR3LXCWSGDY8G7TUMS8DBX7W28X9J	Mei et al	239.3244211294	189.575871074064	21.3530563144271
1	19	76	84	38	58	62	70	5	46	64	38	5	35	31	37	NA	female	graduate	1	woman	married	white	ap	3VFJCI1K41DWDE6IPVXS4USRJG9GRJ	79	3PR3LXCWSGDY8G7TUMS8DBX7W28X9J	Mei et al	281.769162403329	66.0365351336673	41.7129472188808
1	1	100	96	1	76	25	100	4	87	84	67	1	77	1	30	NA	female	associates	34	woman	married	hispanic	ap	3ZY8KE4ISLHFJAHD1B7EZ5LWA9VQVH	79	3PR3LXCWSGDY8G7TUMS8DBX7W28X9J	Mei et al	331.719888385926	45.8619417996745	47.6719396787209
1	1	100	50	50	50	50	50	1	50	50	50	1	1	1	29	NA	male	high	1	man	single	black	ap	39GXDJN2OVS9D6HHFHQEDE0WG398VO	95	3YD0MU1NC3FIYKB74F2AF7V30RC7AE	Mei et al	254.187451814879	60.4392746037387	24.8291352493338
16	50	43	66	72	47	54	57	50	25	44	60	55	97	47	60	NA		graduate	76	man	divorced	white	ap	3DIP6YHAPE6SBVVVKR14DACAG86E8O	95	3YD0MU1NC3FIYKB74F2AF7V30RC7AE	Mei et al	209.491712950353	190.428475654499	32.7744585291206
60	39	30	32	24	76	58	27	61	57	74	65	32	59	66	28	NA	male	bachelors	72	man	single	white	ap	3KXIR214I6UZXEWDF4GQUXNGHJK425	95	3YD0MU1NC3FIYKB74F2AF7V30RC7AE	Mei et al	228.435955155719	151.534977658693	15.8906465595736
15	40	50	45	65	40	45	40	55	20	45	40	70	55	55	38	NA	male	bachelors	60	man	single	white	ap	3NGI5ARFTVJEXM00UK80SCO6GAZP1Z	95	3YD0MU1NC3FIYKB74F2AF7V30RC7AE	Mei et al	187.668288992313	180.602826836172	22.3462217244004
67	74	69	83	50	86	85	70	72	70	70	83	86	89	80	60	NA	male	bachelors	50	man	married	white	ap	3UN61F00HY3YXHHY8ZE10X12T7Y5RT	95	3YD0MU1NC3FIYKB74F2AF7V30RC7AE	Mei et al	324.70559033675	248.367320366871	41.2163645138941
44	10	35	34	90	5	25	10	5	5	5	35	5	100	35	70	NA	male	graduate	30	man	married	white	ap	35GCEFQ6I724LTGL4XKL735HOSN3ZR	91	3MDWE879UIGRVD4SPQ0QOE6FDZL9BN	Mei et al	66.0930424212361	86.2337544609056	16.883811969547
11	35	88	80	82	78	87	81	1	83	94	87	34	24	40	34	NA	female	bachelors	17	woman	single	white	ap	36PW28KO41A6UJOAHPLI91I56W6EAS	91	3MDWE879UIGRVD4SPQ0QOE6FDZL9BN	Mei et al	365.966681646547	148.835942907841	39.7266163989341
1	1	89	89	1	61	100	95	1	90	85	25	1	1	10	29	NA	male	associates	10	man	single	white	ap	3DL65MZB8FTUNYL813H9FW8T6ZRECU	91	3MDWE879UIGRVD4SPQ0QOE6FDZL9BN	Mei et al	366.456087773152	17.9775930335417	44.1958607438142
22	86	37	85	62	17	22	43	1	12	16	41	26	100	90	29	NA	female	somecollege	16	woman	single	white	ap	3OB0CAO74J3JABDFNW74XQXP14SYHV	91	3MDWE879UIGRVD4SPQ0QOE6FDZL9BN	Mei et al	114.861540799838	143.467343971415	42.2095299238675
1	77	53	54	74	42	41	73	1	21	37	72	1	87	22	47	NA	male	bachelors	100	man	single	white	ap	3X65QVEQI218T4V0IP4DSRYDFWTCLG	91	3MDWE879UIGRVD4SPQ0QOE6FDZL9BN	Mei et al	210.471212270194	145.413581581921	26.8154660692805
15	80	30	55	60	10	25	20	1	25	25	10	50	70	45	32	NA	male	bachelors	15	man	single	white	ap	320DUZ38G90FFQN5HQOJ23609ZFGJR	60	3WRAAIUSBKDCDZHYMS68968R2KQXAY	Mei et al	93.3296561161708	134.919851412995	27.3120487742672
1	1	100	95	10	95	100	100	1	95	100	1	1	1	1	46	NA	female	somecollege	50	woman	divorced	white	ap	3IFS6Q0HJKXMAKCQU8X0FGA3KVKIS1	60	3WRAAIUSBKDCDZHYMS68968R2KQXAY	Mei et al	423.239317605616	8.38071487483003	47.1753569737342
1	1	61	64	56	78	73	85	1	90	93	57	1	3	1	39	NA		bachelors	34	man	single	hispanic	ap	3JZQSN0I3SOZAO19Y0XYN5E8GSYGFO	60	3WRAAIUSBKDCDZHYMS68968R2KQXAY	Mei et al	335.527039108281	68.0351101281228	31.7812931191473
1	49	100	67	52	79	74	75	1	69	82	74	1	51	1	27	NA	male	bachelors	8	man	married	asian	ap	3Y5140Z9DZUPXSWY2RT6KB5SXDFPIY	60	3WRAAIUSBKDCDZHYMS68968R2KQXAY	Mei et al	349.956945783185	112.937853192657	33.2710412341073
15	87	21	77	85	63	20	25	1	19	63	86	7	90	85	36	NA	male	bachelors	88	man	married	black	ap	3YHH42UU5DTOZC0K69BTXQWC6BW0LJ	60	3WRAAIUSBKDCDZHYMS68968R2KQXAY	Mei et al	167.454279720563	171.71845401666	38.236868283974
50	65	60	90	70	35	65	65	40	25	60	75	65	85	50	39	NA	male	bachelors	35	man	single	white	ap	31JLPPHS2W8SMP2E2O94R5YD4SL3OY	92	36U4VBVNQPRCVC9KJYH7KPYX86XRU8	Mei et al	242.987392585293	208.845776647456	44.6924434488008
